id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42644779,VINTAGE HOME IN THE HEART OF EAST VAN 2BR/1BA,339739250,Thi Yen,,Renfrew-Collingwood,49.23642,-123.05819,Entire home/apt,106,2,1,2020-03-11,0.45,1,269
42663921,Brand New Luxury Condo with Private Rooftop Patio,119839488,Aadam,,Killarney,49.20568,-123.02799,Entire home/apt,155,1,1,2020-05-09,1,1,351
42664284,Central sophisticated 1bed/1bath,339762471,David,,West End,49.28631,-123.12413,Entire home/apt,129,1,8,2020-04-25,3.43,1,107
42668926,Deluxe Vancouver Laneway - Walkscore-88 - NEW!,6315426,Bernd,,Riley Park,49.24493,-123.10512,Entire home/apt,87,3,0,,,2,30
42670562,Vancouver Downtown Amazing View 2 BR/2Bath/Den,311461745,Vivian,,Downtown,49.27413,-123.11568,Entire home/apt,138,2,1,2020-03-16,0.50,2,220
42671208,Ultra High End 3 Bedroom Condo for Extended Stay!,248260762,Colton,,Marpole,49.21762,-123.11357,Entire home/apt,249,30,0,,,4,365
42671966,My house your house,37753475,Cesar,,Renfrew-Collingwood,49.23699,-123.03628,Private room,75,3,1,2020-03-05,0.44,1,0
42672083,Private Room In Charming Heritage Kitsilano Home,78543458,Kevin,,Kitsilano,49.27213,-123.18239,Private room,61,1,5,2020-04-07,2.11,3,199
42672511,Red Room for 2.people,339374773,Aby,,Kensington-Cedar Cottage,49.26074,-123.05804,Shared room,44,1,0,,,6,0
42673087,Private Room & Balcony In Heritage Kitsilano Home,78543458,Kevin,,Kitsilano,49.27157,-123.18257,Private room,70,1,4,2020-04-23,1.69,3,180
42673181,Marine Gateway best top view condo,37593188,Aaron,,Marpole,49.21011,-123.11731,Entire home/apt,258,3,1,2020-03-15,0.48,1,269
42673995,Private Blissful Meditation Room In Kitsilano,78543458,Kevin,,Kitsilano,49.27173,-123.18303,Private room,61,1,4,2020-04-20,1.82,3,182
42680807,The Beach Condo - Eco-friendly Loft in Kits!,100187707,Kasie,,Kitsilano,49.27126,-123.1614,Entire home/apt,200,1,2,2020-04-08,1.46,1,298
42685495,"нσтєℓ ѕтуℓє cσи∂σ cσмρℓєтє ω/нσт тυв, gум & ѕαυиα",324559295,Riley,,Downtown,49.28071,-123.10585,Entire home/apt,175,2,2,2020-04-20,2,1,336
42690400,NEWLY RENOVATED IN DOWNTOWN 27% DISCOUNTED,340070321,Priya,,Downtown,49.27863,-123.12376,Entire home/apt,139,30,1,2020-03-16,0.53,1,0
42692931,Lexury 4 bedrooms near Airport & Downtown,340094058,Apple,,Sunset,49.21867,-123.08069,Entire home/apt,280,3,0,,,2,89
42694081,Studio near Airport & Downtown,340094058,Apple,,Sunset,49.21734,-123.0787,Entire home/apt,94,2,0,,,2,89
42695767,City home away from home,98810306,Krista,,Hastings-Sunrise,49.28651,-123.05552,Entire home/apt,200,1,1,2020-04-30,1,1,0
42695990,Trendy Loft on Prime Location Downtown Vancouver,5986890,Sasha,,Downtown,49.27856,-123.12043,Entire home/apt,136,2,5,2020-05-08,2.27,1,124
42696228,"""J'Adore"" 1-bed+den w/ parking near DT Arena",308765087,Kelli,,Downtown,49.27907,-123.10816,Entire home/apt,88,1,3,2020-03-07,1.30,3,246
42704458,3 bedroom Cambie craftsman,2572830,Katie,,South Cambie,49.25647,-123.11563,Entire home/apt,422,2,0,,,3,87
42705895,Room close to a Train station,313709916,Meedo,,Kensington-Cedar Cottage,49.25019,-123.0574,Private room,35,3,0,,,4,9
42708734,Deluxe 3 BR condo in brand new bldg,320256540,Gary,,Marpole,49.217,-123.11301,Entire home/apt,275,2,0,,,1,179
42719345,Brand New 2 Bed & 2 Bath condo near Marine station,255306340,Joe,,Marpole,49.21119,-123.11701,Entire home/apt,208,30,0,,,2,268
42719452,Willow Suite,340275725,Beata,,South Cambie,49.25158,-123.12736,Entire home/apt,199,30,0,,,3,365
42720667,Maple Suite,340275725,Beata,,South Cambie,49.2528,-123.12738,Entire home/apt,199,30,0,,,3,365
42720991,Cedar Suite,340275725,Beata,,Shaughnessy,49.25252,-123.12934,Entire home/apt,199,30,0,,,3,365
42721580,Vancouver Downtown Fantastic View 2BR,311461745,Vivian,,Downtown,49.27546,-123.11735,Entire home/apt,238,2,0,,,2,118
42723252,New private 2 Br&2 Bath near airport and Downtown,255306340,Joe,,Marpole,49.21132,-123.11555,Entire home/apt,208,30,0,,,2,268
42724118,Good location 2Br&2Bt condo Vancouver Downtown,231508497,Frank,,Marpole,49.21189,-123.1163,Entire home/apt,208,30,0,,,2,268
42724623,Brand new 2Br&2Bt condo near stytrain Vancouver,231508497,Frank,,Marpole,49.21088,-123.11686,Entire home/apt,208,30,0,,,2,268
42724733,Private single bedroom for rent,107150118,Ben,,Hastings-Sunrise,49.27558,-123.02379,Private room,39,2,2,2020-03-24,0.88,1,0
42738536,Luxury brand new 4 bedrooms with 3 full bathrooms,332778015,Linda,,Renfrew-Collingwood,49.24856,-123.04599,Entire home/apt,700,10,0,,,3,269
42739989,Amazing & Very Cozy studio/bachelor apartment,340384526,Anastasia,,Oakridge,49.2334,-123.12101,Entire home/apt,59,1,0,,,1,72
42741031,Stunning Triplex in The Heart Of Yaletown,267483268,Georgia,,Downtown,49.27605,-123.12407,Entire home/apt,550,3,0,,,2,270
42741297,D33 - 2 Bedroom + Large Den Downtown Sub-Penthouse,30899,Rami,,West End,49.28653,-123.1274,Entire home/apt,142,30,0,,,49,365
42742038,Bright and Sunny 1 Bedroom with Parking (K1),23977001,Emma,,Fairview,49.26339,-123.12282,Entire home/apt,141,7,0,,,12,0
42742294,Oakridge Executive House - Minutes to Skytrain,153312807,Charles,,Oakridge,49.23053,-123.10718,Entire home/apt,100,1,3,2020-04-28,1.36,1,92
42743449,Water+Mountain View❤️Skytrain+Roger Arena+BC Place,287607431,Elliot,,Downtown,49.27934,-123.10911,Entire home/apt,299,2,4,2020-04-06,2.03,3,0
42743769,"Quite, safe and friendly, exquisite restaurants",340418494,Anicia,,Sunset,49.22311,-123.0828,Entire home/apt,200,3,0,,,1,361
42745415,Modern Cottage Life ( Beach life),24014366,Rochelle,,Kitsilano,49.26777,-123.18252,Entire home/apt,146,2,2,2020-04-27,2,2,351
42745726,Affordable Cozy Suite in Vancouver,27174981,Leslie,,Sunset,49.21327,-123.09939,Entire home/apt,70,2,2,2020-05-10,2,1,79
42745752,Deluxe Vancouver House at the Park - Walkscore-88,6315426,Bernd,,Riley Park,49.24502,-123.10503,Entire home/apt,400,2,0,,,2,52
42746979,Cozy and Spacious Suite in Vancouver,228170865,Kira,,Riley Park,49.24558,-123.09508,Entire home/apt,188,2,0,,,1,0
42749205,Relaxing and Cozy Basement Suite in Fraserview - B,340427399,Justin,,Victoria-Fraserview,49.21985,-123.05599,Entire home/apt,90,2,0,,,1,92
42755867,"AMAZING Downtown Suite w/ HOT TUB,GYM,SAUNA, POOL",333038683,Jay,,Downtown,49.27936,-123.1074,Entire home/apt,250,1,6,2020-04-29,2.73,1,334
42758270,"At Evan's, on the ""Drive"", Pets negotiable!",340522833,Evan,,Grandview-Woodland,49.26627,-123.06852,Entire home/apt,135,30,0,,,1,71
42761406,"樱花街 带大阳台 新装修高性价比20平方独立客房,近UBC,近海边,近市中心,交通方便｡",326244385,Leon,,Dunbar Southlands,49.25635,-123.18437,Private room,55,1,3,2020-05-05,1.30,6,90
42761452,Stylish Loft In the ❤️ of Downtown - 1bdrm/1bath,331185910,Richard,,Downtown,49.27651,-123.11889,Entire home/apt,149,28,4,2020-04-30,1.74,1,0
42765845,2 Level loft in the heart of Gastown w/patio & bbq,9842263,Jeff,,Downtown Eastside,49.28358,-123.10334,Entire home/apt,110,31,0,,,1,115
42773569,Vancouver Heart Basement,340652945,Ming-Lang,,Marpole,49.21496,-123.12615,Private room,59,1,1,2020-03-21,0.54,1,89
42774164,Bedroom in Olympic Village with a View!,340658543,Anthony,,Mount Pleasant,49.26923,-123.10167,Private room,65,2,1,2020-03-11,0.46,1,79
42775629,"1,200 sq ft, 2-floor Scandinavian oasis on Cambie",40710340,Lisa,,South Cambie,49.25639,-123.11639,Entire home/apt,200,3,0,,,1,42
42778616,Downtown water & park view,48184987,Jina,,Downtown,49.27167,-123.12613,Entire home/apt,200,30,0,,,1,364
42778697,The most amazing 2BD in the heart of Gastown,319019471,Den,,Downtown,49.27598,-123.12553,Entire home/apt,2000,1,0,,,2,90
42779015,Steps to Kitsilano Beach: Cozy 1BR + Parking,137363515,Olga,,Kitsilano,49.27232,-123.1574,Entire home/apt,299,1,1,2020-03-15,0.48,2,125
42786443,The Robson Special,60152405,Dc,,West End,49.28846,-123.1317,Private room,70,1,0,,,14,120
42790908,Modern Mount Pleasant Townhouse,31857,Kathryn,,Mount Pleasant,49.26638,-123.09786,Entire home/apt,180,2,0,,,1,154
42793312,Prime Location Spacious Room,66507029,Marco,,Kitsilano,49.26045,-123.17753,Private room,39,1,1,2020-03-28,0.61,18,239
42793679,Prime Location Spacious Room,66507029,Marco,,Kitsilano,49.26015,-123.17856,Private room,39,1,0,,,18,239
