,amenity,lat,lon,name,tags,timestamp,tim_index,_id,driveThruLaneType,franchiseGroupId,frontCounterClosed,hasBreakfast,hasCurbside,hasDineIn,hasDelivery,hasMobileOrdering,hasTakeOut,hasWifi,latitude,longitude,mobileOrderingStatus,addr,number,parkingType,phoneNumber,Unnamed: 34,tags_len,new,amenity0,amenity1,amenity2
0,1,49.2262222,-123.1287693,Tim Hortons,{u'name:en': u'Tim Hortons'},2016-10-24 13:57:21,171,restaurant_68450,2,101768.0,0,1,0,0,1,1,1,0,49.226378000000004,-123.128643,1,"6525 OAK ST VANCOUVER, British Columbia V6P 3Z3 - Canada",102744,1,6042611062,,1,[-1 -1 -1],empty,empty,empty
1,1,49.3050257,-123.0144026,Tim Hortons,{},2016-09-12 06:53:35,123,restaurant_70081,2,101866.0,0,1,0,0,1,1,1,0,49.305091,-123.01443300000001,1,"2177 DOLLARTON HWY - ESSO OTR NORTH VANCOUVER, British Columbia V7H 3A7 - Canada",105320,1,6049294209,,0,[-1 -1 -1],empty,empty,empty
2,0,49.1328835,-122.846132,Tim Hortons,"{u'addr:housenumber': u'7195', u'cuisine': u'coffee_shop', u'brand': u'Tim Hortons', u'brand:wikidata': u'Q175106', u'takeaway': u'yes', u'brand:wikipedia': u'en:Tim Hortons', u'addr:street': u'King George Boulevard'}",2019-08-24 07:12:34,75,restaurant_68152,0,100775.0,0,1,0,0,1,1,1,0,49.132963000000004,-122.846198,1,"7195 KING GEORGE HWY SURREY, British Columbia V3W 5A4 - Canada",102530,1,6045077678,,7,[-1 -1 -1],empty,empty,empty
3,0,49.0513372,-122.691921,Tim Hortons,"{u'addr:housenumber': u'2711', u'opening_hours': u'24/7', u'internet_access': u'wlan', u'addr:street': u'192 Street'}",2017-02-16 16:51:53,41,restaurant_69827,0,100953.0,0,1,0,0,1,1,1,1,49.051398,-122.691905,1,"2711 192ND ST SURREY, British Columbia V3S 3X1 - Canada",104510,1,6045364775,,4,[41 -1 -1],fast_food,empty,empty
4,1,49.2233012,-122.671355,Tim Hortons,{},2014-01-26 16:56:13,42,restaurant_68825,0,101625.0,0,1,0,0,1,1,1,1,49.223478,-122.67132,1,"19800 LOUGHEED HWY PITT MEADOWS, British Columbia V3Y 2W1 - Canada",102870,1,6044653009,,0,[-1 -1 -1],empty,empty,empty
