,amenity,lat,lon,name,tags,timestamp,tim_index,_id,driveThruLaneType,franchiseGroupId,frontCounterClosed,hasBreakfast,hasCurbside,hasDineIn,hasDelivery,hasMobileOrdering,hasTakeOut,hasWifi,latitude,longitude,mobileOrderingStatus,addr,number,parkingType,phoneNumber,Unnamed: 34,tags_len,new,amenity0,amenity1,amenity2
0,1,49.2262222,-123.1287693,Tim Hortons,{u'name:en': u'Tim Hortons'},2016-10-24 13:57:21,171,restaurant_68450,2,101768.0,0,1,0,0,1,1,1,0,49.226378000000004,-123.128643,1,"6525 OAK ST VANCOUVER, British Columbia V6P 3Z3 - Canada",102744,1,6042611062,,1,[-1 -1 -1],empty,empty,empty
1,1,49.3050257,-123.0144026,Tim Hortons,{},2016-09-12 06:53:35,123,restaurant_70081,2,101866.0,0,1,0,0,1,1,1,0,49.305091,-123.01443300000001,1,"2177 DOLLARTON HWY - ESSO OTR NORTH VANCOUVER, British Columbia V7H 3A7 - Canada",105320,1,6049294209,,0,[-1 -1 -1],empty,empty,empty
2,1,49.2311162,-123.0904218,Tim Hortons,{},2018-08-19 23:42:11,146,restaurant_75897,2,102683.0,0,1,0,0,1,1,1,1,49.231128000000005,-123.090429,1,"5896 Fraser Street Vancouver, British Columbia V5W 2Z5 - Canada",107387,0,778-996-5896,,0,[-1 -1 -1],empty,empty,empty
